                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2963,                 0.9354,                 1.2118,                0.80871,                0.64994,                0.74945,                0.49621,                 1.1184,                0.77589,                  1.145,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.2866,                0.93353,                  1.212,                0.80663,                0.64137,                0.73742,                0.48516,                 1.1319,                0.78112,                 1.1474,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.3035,                0.93477,                 1.2062,                0.79102,                0.65859,                0.75272,                0.49089,                 1.1292,                0.76768,                 1.1478,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.2985,                0.93068,                 1.2115,                0.73909,                0.66802,                0.73709,                0.48408,                 1.1414,                  0.772,                 1.1484,               0.009307,               0.009307,               0.009307
                     72,                 1.2756,                0.92227,                 1.2009,                0.85182,                0.64346,                0.75995,                0.50101,                 1.1211,                0.75856,                 1.1409,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.2848,                0.92156,                 1.2011,                0.78273,                0.65725,                 0.7504,                0.49496,                 1.1246,                0.76613,                  1.144,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.2778,                0.90647,                 1.1998,                0.75847,                0.68464,                0.75932,                0.50157,                 1.1107,                0.75381,                 1.1284,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.2801,                0.91629,                  1.197,                0.75635,                0.68744,                0.75145,                0.50251,                 1.1092,                0.75007,                  1.134,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.2685,                 0.9035,                 1.1917,                0.79462,                0.66659,                0.75415,                0.50491,                 1.1037,                0.75056,                 1.1303,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.2672,                0.90603,                  1.186,                0.85947,                0.65749,                0.75299,                0.50304,                 1.1262,                0.75983,                 1.1416,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.2741,                0.90998,                 1.1969,                0.76818,                 0.6807,                0.75358,                  0.497,                 1.1212,                 0.7556,                 1.1375,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.2754,                0.90998,                 1.1911,                0.76501,                0.67042,                0.75347,                0.50113,                 1.1002,                0.75324,                 1.1309,              0.0092278,              0.0092278,              0.0092278
